region|date|tam_1|tam_2|tam_3|tam_4plus
lacnic|20210415|263|213|170|199
lacnic|20210515|277|221|186|213
lacnic|20210615|292|231|219|211
lacnic|20210715|292|222|218|211
lacnic|20210815|300|237|229|217
lacnic|20210915|316|245|232|198
lacnic|20211015|308|241|245|233
lacnic|20211115|312|231|242|225
lacnic|20211215|321|247|233|230
lacnic|20220115|318|263|246|226
lacnic|20220215|327|266|229|238
lacnic|20220315|327|264|258|255
lacnic|20220415|330|282|245|255
lacnic|20220515|338|303|259|253
lacnic|20220615|362|312|251|261
lacnic|20220715|392|316|254|263
lacnic|20220815|391|324|252|266
lacnic|20220915|401|342|256|280
lacnic|20221015|407|348|267|282
lacnic|20221115|414|355|270|306
lacnic|20221215|423|364|276|309
lacnic|20230115|430|349|277|321
lacnic|20230215|460|362|299|326
lacnic|20230315|456|381|300|318
lacnic|20230415|504|372|300|332
lacnic|20230515|500|385|323|333
lacnic|20230615|509|393|327|342
lacnic|20230715|531|387|342|344
lacnic|20230815|547|402|303|360
lacnic|20230915|544|410|346|388
lacnic|20231015|546|384|346|398
lacnic|20231115|561|401|342|417
lacnic|20231215|570|380|362|440
lacnic|20240115|587|391|341|442
lacnic|20240215|561|422|345|451
lacnic|20240315|576|435|355|439
lacnic|20240415|588|434|379|437
lacnic|20240515|603|460|363|469
lacnic|20240615|606|453|370|485
ripencc|20140615|193|120|92|79
ripencc|20140715|191|127|96|83
ripencc|20140815|191|127|96|83
ripencc|20140915|201|113|95|81
ripencc|20141015|209|105|92|79
ripencc|20141115|210|111|93|96
ripencc|20141215|209|109|95|91
ripencc|20150115|216|110|106|96
ripencc|20150215|216|110|106|96
ripencc|20150315|221|116|110|103
ripencc|20150415|213|123|105|106
ripencc|20150515|218|127|106|106
ripencc|20150615|219|134|114|104
ripencc|20150715|230|138|109|108
ripencc|20150815|230|128|113|109
ripencc|20150915|227|132|118|109
ripencc|20151015|230|134|121|114
ripencc|20151115|228|132|121|115
ripencc|20151215|230|130|107|119
ripencc|20160115|239|132|109|119
ripencc|20160215|239|132|109|119
ripencc|20160315|252|142|114|117
ripencc|20160415|250|143|117|112
ripencc|20160515|253|140|126|117
ripencc|20160615|257|147|133|123
ripencc|20160715|255|146|138|122
ripencc|20160815|264|144|133|127
ripencc|20160915|267|141|139|127
ripencc|20161015|260|142|136|122
ripencc|20161115|277|138|141|120
ripencc|20161215|283|138|140|119
ripencc|20170115|275|141|137|128
ripencc|20170215|278|140|138|135
ripencc|20170315|294|139|137|130
ripencc|20170415|294|139|137|130
ripencc|20170515|282|155|132|137
ripencc|20170615|289|162|126|137
ripencc|20170715|289|162|126|137
ripencc|20170815|303|164|131|141
ripencc|20170915|303|164|131|141
ripencc|20171015|299|170|144|144
ripencc|20171115|309|177|140|148
ripencc|20171215|329|181|150|151
ripencc|20180115|322|173|147|152
ripencc|20180215|333|175|151|155
ripencc|20180315|382|175|162|162
ripencc|20180415|337|182|157|155
ripencc|20180515|339|174|166|157
ripencc|20180615|331|181|162|158
ripencc|20180715|341|186|166|167
ripencc|20180815|341|186|166|167
ripencc|20180915|345|187|168|165
ripencc|20181015|349|179|172|164
ripencc|20181115|346|185|175|172
ripencc|20181215|364|188|179|169
ripencc|20190115|349|194|172|169
ripencc|20190215|349|194|172|169
ripencc|20190315|381|192|163|185
ripencc|20190415|392|202|164|187
ripencc|20190515|395|209|169|186
ripencc|20190615|403|211|173|183
ripencc|20190715|403|211|173|183
ripencc|20190815|405|217|176|179
ripencc|20190915|405|217|176|179
ripencc|20191015|405|229|179|178
ripencc|20191115|421|228|184|181
ripencc|20191215|421|231|191|173
ripencc|20200115|432|233|186|179
ripencc|20200215|444|242|185|178
ripencc|20200315|430|222|164|151
ripencc|20200415|474|255|191|187
ripencc|20200515|460|251|193|192
ripencc|20200615|455|245|189|185
ripencc|20200715|463|274|190|191
ripencc|20200815|461|286|286|193
ripencc|20200915|477|306|290|195
ripencc|20201015|466|317|259|195
ripencc|20201115|475|292|194|200
ripencc|20201215|493|286|254|204
ripencc|20210115|492|287|255|209
ripencc|20210215|499|289|196|211
ripencc|20210315|526|283|192|206
ripencc|20210415|504|292|193|211
ripencc|20210515|540|287|197|209
ripencc|20210615|558|284|205|216
ripencc|20210715|559|282|204|196
ripencc|20210815|556|280|279|205
ripencc|20210915|515|268|209|199
ripencc|20211015|562|283|223|208
ripencc|20211115|565|292|217|204
ripencc|20211215|525|286|215|196
ripencc|20220115|558|309|223|203
ripencc|20220215|518|284|194|208
ripencc|20220315|564|301|219|220
ripencc|20220415|536|290|207|210
ripencc|20220515|554|291|206|213
ripencc|20220615|588|307|219|221
ripencc|20220715|587|286|212|222
ripencc|20220815|596|306|226|228
ripencc|20220915|604|295|229|232
ripencc|20221015|589|307|226|225
ripencc|20221115|610|295|220|217
ripencc|20221215|615|313|218|211
ripencc|20230115|622|308|233|218
ripencc|20230215|643|321|226|223
ripencc|20230315|629|314|213|218
ripencc|20230415|641|328|237|230
ripencc|20230515|655|323|250|233
ripencc|20230615|650|320|242|244
ripencc|20230715|651|325|239|233
ripencc|20230815|650|333|241|231
ripencc|20230915|667|350|241|232
ripencc|20231015|680|354|262|225
ripencc|20231115|685|334|251|225
ripencc|20231215|700|336|267|232
ripencc|20240115|698|351|256|230
ripencc|20240215|716|351|257|235
ripencc|20240315|725|352|258|238
ripencc|20240415|728|354|265|248
ripencc|20240515|720|354|266|246
ripencc|20240615|716|354|281|242
