as_type|date|from1to24|from25to49|from50to74|from75to100
none|20191015|13|16|13|161
none|20191115|13|13|19|167
none|20191215|13|15|17|161
none|20200115|15|11|23|179
none|20200215|16|12|20|179
none|20200315|18|11|19|159
none|20200415|13|14|19|166
none|20200515|17|15|23|159
none|20200615|15|17|14|156
none|20200715|15|17|16|160
none|20200815|15|16|17|173
none|20200915|13|20|19|178
none|20201015|13|17|17|178
none|20201115|10|19|16|162
none|20201215|13|18|20|167
none|20210115|13|21|18|167
none|20210215|15|18|20|162
none|20210315|11|23|24|156
none|20210415|15|19|27|160
none|20210515|17|18|27|162
none|20210615|15|21|25|158
none|20210715|15|22|23|150
none|20210815|13|27|21|158
none|20210915|15|24|22|149
none|20211015|13|24|19|151
none|20211115|10|29|21|143
none|20211215|12|20|26|134
none|20220115|13|24|22|134
none|20220215|11|25|17|129
none|20220315|13|19|18|141
none|20220415|9|19|16|131
none|20220515|8|17|16|138
none|20220615|10|13|15|134
none|20220715|14|14|18|121
none|20220815|16|19|17|119
none|20220915|14|20|18|122
none|20221015|12|15|19|108
none|20221115|11|12|20|109
none|20221215|15|12|23|114
none|20230115|12|14|17|116
none|20230215|12|15|13|107
none|20230315|12|16|16|99
none|20230415|7|17|14|107
none|20230515|7|17|16|95
none|20230615|6|12|14|95
none|20230715|6|14|10|90
none|20230815|9|11|14|76
none|20230915|10|13|10|92
none|20231015|8|12|13|88
none|20231115|7|11|11|75
none|20231215|6|7|11|72
none|20240115|9|8|14|67
none|20240215|5|9|8|81
none|20240315|5|10|6|79
none|20240415|4|7|6|71
none|20240515|3|6|3|62
none|20240615|3|5|3|52
