#as_type|date|disagg_1|disagg_2|disagg_3|disagg_4plus
isp|20200115|370|156|104|1070
isp|20200215|372|171|99|1096
isp|20200315|378|180|104|1104
isp|20200415|390|189|109|1165
isp|20200515|412|211|110|1173
isp|20200615|430|229|110|1182
isp|20200715|450|245|116|1219
isp|20200815|458|247|111|1217
isp|20200915|488|268|114|1299
isp|20201015|498|285|119|1316
isp|20201115|516|295|117|1340
isp|20201215|532|310|122|1374
isp|20210115|550|329|119|1410
isp|20210215|565|339|122|1425
isp|20210315|603|362|122|1469
isp|20210415|623|381|130|1489
isp|20210515|625|415|125|1535
isp|20210615|656|432|132|1614
isp|20210715|652|427|135|1604
isp|20210815|677|432|137|1619
isp|20210915|705|466|132|1669
isp|20211015|726|469|140|1685
isp|20211115|730|472|141|1684
isp|20211215|752|467|145|1715
isp|20220115|767|465|146|1712
isp|20220215|779|464|141|1745
isp|20220315|792|479|146|1779
isp|20220415|793|488|152|1799
isp|20220515|803|506|142|1801
isp|20220615|840|503|150|1830
isp|20220715|874|519|154|1885
isp|20220815|894|521|153|1929
isp|20220915|904|547|156|1964
isp|20221015|897|555|151|1955
isp|20221115|900|574|155|2006
isp|20221215|922|595|158|2031
isp|20230115|923|596|162|2062
isp|20230215|943|610|168|2107
isp|20230315|978|641|171|2172
isp|20230415|988|633|170|2148
isp|20230515|1002|627|175|2166
isp|20230615|1015|633|169|2160
isp|20230715|1019|659|169|2193
isp|20230815|1040|684|174|2249
isp|20230915|1054|724|184|2322
isp|20231015|1039|697|178|2277
isp|20231115|1064|701|173|2286
isp|20231215|1075|717|178|2307
isp|20240115|1077|713|173|2330
isp|20240215|1115|710|177|2335
isp|20240315|1127|732|176|2354
isp|20240415|1132|739|182|2369
isp|20240515|1134|751|194|2428
isp|20240615|1142|756|194|2444
none|20140615|9|3|6|91
none|20140715|8|3|6|89
none|20140815|8|3|7|90
none|20140915|9|3|7|90
none|20141015|10|3|7|88
none|20141115|11|3|7|91
none|20141215|13|5|7|94
none|20150115|14|4|7|94
none|20150215|14|4|7|94
none|20150315|13|5|7|94
none|20150415|16|4|9|92
none|20150515|16|5|7|96
none|20150615|18|4|8|97
none|20150715|18|5|7|101
none|20150815|18|5|7|97
none|20150915|20|7|9|92
none|20151015|20|8|8|100
none|20151115|20|6|7|102
none|20151215|19|7|8|104
none|20160115|19|7|9|105
none|20160215|19|7|9|105
none|20160315|21|8|8|113
none|20160415|22|8|7|114
none|20160515|23|9|9|118
none|20160615|25|12|9|116
none|20160715|27|14|10|113
none|20160815|27|18|8|115
none|20160915|26|19|8|112
none|20161015|29|17|7|110
none|20161115|28|16|8|111
none|20161215|30|15|7|113
none|20170115|33|14|7|111
none|20170215|36|14|9|104
none|20170315|35|16|8|106
none|20170415|35|16|8|106
none|20170515|39|14|7|109
none|20170615|37|17|7|115
none|20170715|37|17|7|115
none|20170815|39|17|10|116
none|20170915|39|17|10|116
none|20171015|32|18|8|113
none|20171115|34|20|8|118
none|20171215|34|18|9|121
none|20180115|33|16|10|125
none|20180215|37|15|10|129
none|20180315|36|16|8|135
none|20180415|41|16|8|134
none|20180515|40|17|7|134
none|20180615|36|17|7|131
none|20180715|40|18|9|137
none|20180815|40|18|9|137
none|20180915|40|20|9|137
none|20181015|41|22|8|138
none|20181115|43|21|8|149
none|20181215|44|20|9|152
none|20190115|46|18|7|150
none|20190215|46|18|7|150
none|20190315|51|16|7|144
none|20190415|50|13|5|155
none|20190515|46|14|9|158
none|20190615|51|14|7|148
none|20190715|51|14|7|148
none|20190815|47|13|6|163
none|20190915|47|13|6|163
none|20191015|50|16|7|170
none|20191115|50|16|10|173
none|20191215|47|18|10|173
none|20200115|51|17|11|171
none|20200215|46|17|9|167
none|20200315|46|18|10|174
none|20200415|46|18|10|180
none|20200515|46|19|11|173
none|20200615|42|20|9|172
none|20200715|43|17|11|178
none|20200815|43|19|11|166
none|20200915|50|17|12|171
none|20201015|48|21|13|172
none|20201115|49|23|16|165
none|20201215|51|23|15|162
none|20210115|49|21|16|163
none|20210215|60|19|17|161
none|20210315|64|17|18|161
none|20210415|61|21|17|152
none|20210515|66|26|17|162
none|20210615|65|29|18|171
none|20210715|63|27|16|155
none|20210815|63|26|14|148
none|20210915|67|30|16|158
none|20211015|63|33|15|160
none|20211115|65|36|12|147
