#as_type|date|from1to24|from25to49|from50to74|from75to99
isp|20200515|4653|4361|620|0
isp|20200615|4714|4410|650|0
isp|20200715|4732|4486|647|0
isp|20200815|4770|4618|633|0
isp|20200915|4815|4719|676|0
isp|20201015|4741|4735|716|0
isp|20201115|4768|4809|746|0
isp|20201215|4827|4956|758|0
isp|20210115|4799|4903|740|0
isp|20210215|4846|4941|761|0
isp|20210315|4850|5024|770|0
isp|20210415|4872|5060|783|0
isp|20210515|4887|5084|760|1
isp|20210615|4918|5155|735|1
isp|20210715|4907|5196|749|1
isp|20210815|4950|5275|759|1
isp|20210915|4991|5302|764|0
isp|20211015|4973|5306|739|0
isp|20211115|4999|5304|763|1
isp|20211215|5007|5326|743|0
isp|20220115|5052|5387|752|0
isp|20220215|5053|5367|766|0
isp|20220315|5050|5373|761|0
isp|20220415|5051|5454|767|0
isp|20220515|5069|5436|756|0
isp|20220615|5121|5421|780|1
isp|20220715|5193|5522|776|0
isp|20220815|5167|5544|782|0
isp|20220915|5171|5615|781|0
isp|20221015|5139|5535|792|0
isp|20221115|5125|5537|771|0
isp|20221215|5193|5570|782|0
isp|20230115|5189|5587|788|0
isp|20230215|5201|5613|773|1
isp|20230315|5265|5620|768|1
isp|20230415|5251|5633|784|1
isp|20230515|5281|5575|815|1
isp|20230615|5268|5654|794|1
isp|20230715|5261|5653|799|1
isp|20230815|5247|5695|786|1
isp|20230915|5277|5745|786|1
isp|20231015|5295|5779|804|1
isp|20231115|5286|5838|790|1
isp|20231215|5273|5850|775|1
isp|20240115|5292|5878|795|0
isp|20240215|5316|5875|777|0
isp|20240315|5325|5898|798|0
isp|20240415|5346|5910|793|0
isp|20240515|5353|5893|773|0
isp|20240615|5333|5933|733|0
none|20140615|1030|658|183|0
none|20140715|1017|635|161|0
none|20140815|1019|644|169|0
none|20140915|1062|696|205|0
none|20141015|1064|687|212|0
none|20141115|1042|677|203|0
none|20141215|1066|683|204|0
none|20150115|1043|699|193|0
none|20150215|1054|681|191|0
none|20150315|1068|677|194|0
none|20150415|1064|687|193|0
none|20150515|1069|700|201|0
none|20150615|1054|677|161|0
none|20150715|1043|686|165|0
none|20150815|1079|722|194|0
none|20150915|1073|719|198|0
none|20151015|1066|706|203|0
none|20151115|1026|700|167|0
none|20151215|1031|703|170|0
none|20160115|1071|737|215|0
none|20160215|1068|764|216|0
none|20160315|1042|774|203|0
none|20160415|1049|785|212|0
none|20160515|1051|778|208|0
none|20160615|1046|793|205|0
none|20160715|1039|795|207|0
none|20160815|1046|793|209|0
none|20160915|1037|819|197|0
none|20161015|1037|810|194|0
none|20161115|1026|801|198|0
none|20161215|997|797|199|0
none|20170115|1024|805|192|0
none|20170215|993|766|182|0
none|20170315|999|770|186|0
none|20170415|973|776|196|0
none|20170515|978|782|198|0
none|20170615|960|781|196|0
none|20170715|953|775|195|0
none|20170815|949|783|192|0
none|20170915|960|778|192|0
none|20171015|948|784|197|0
none|20171115|966|800|190|0
none|20171215|950|785|198|0
none|20180115|925|784|193|0
none|20180215|921|778|196|0
none|20180315|939|787|191|0
none|20180415|938|793|189|0
none|20180515|929|793|182|0
none|20180615|915|792|186|0
none|20180715|890|805|181|0
none|20180815|896|793|195|0
none|20180915|901|771|196|0
none|20181015|868|773|194|0
none|20181115|852|789|199|0
none|20181215|847|801|186|0
none|20190115|861|802|185|0
none|20190215|857|799|180|0
none|20190315|837|810|180|0
none|20190415|848|815|182|0
none|20190515|832|818|169|0
none|20190615|827|813|160|0
none|20190715|817|816|163|0
none|20190815|815|806|178|0
none|20190915|813|816|172|0
none|20191015|796|811|176|0
none|20191115|792|818|169|0
none|20191215|792|792|167|0
none|20200115|796|778|151|0
none|20200215|780|772|160|0
none|20200315|781|788|167|0
none|20200415|762|798|157|0
none|20200515|748|791|161|0
none|20200615|753|785|166|0
none|20200715|733|787|166|0
none|20200815|732|762|176|0
none|20200915|699|788|160|0
none|20201015|684|780|156|0
none|20201115|658|777|155|0
none|20201215|666|772|155|0
none|20210115|651|747|150|1
none|20210215|645|739|149|1
none|20210315|632|747|147|1
none|20210415|620|734|153|1
none|20210515|611|718|148|1
none|20210615|589|704|155|1
none|20210715|584|676|143|0
none|20210815|566|670|139|0
none|20210915|566|662|136|0
none|20211015|543|634|144|0
none|20211115|527|624|137|0
none|20211215|516|604|133|0
none|20220115|508|608|130|0
none|20220215|500|569|120|0
none|20220315|479|545|122|0
none|20220415|473|543|116|0
none|20220515|459|526|111|0
none|20220615|455|510|106|0
none|20220715|447|499|103|0
none|20220815|418|480|106|0
none|20220915|400|459|108|0
none|20221015|381|427|102|0
none|20221115|368|405|101|0
none|20221215|363|393|99|0
none|20230115|352|367|102|0
none|20230215|327|361|92|0
none|20230315|308|351|89|0
none|20230415|305|328|95|0
none|20230515|284|319|87|0
none|20230615|264|296|90|0
none|20230715|229|287|77|0
none|20230815|218|261|77|0
none|20230915|210|242|71|0
none|20231015|192|215|74|0
none|20231115|188|197|66|0
none|20231215|160|196|51|0
none|20240115|143|184|44|0
none|20240215|129|162|42|0
none|20240315|116|136|39|0
none|20240415|99|124|31|0
none|20240515|82|113|32|0
none|20240615|72|89|27|0
