region|date|from1to24|from25to49|from50to74|from75to100
lacnic|20160615|95|128|546|1550
lacnic|20160715|93|140|547|1602
lacnic|20160815|109|145|554|1608
lacnic|20160915|113|135|581|1660
lacnic|20161015|98|147|578|1701
lacnic|20161115|103|147|555|1733
lacnic|20161215|112|133|586|1742
lacnic|20170115|112|129|590|1782
lacnic|20170215|104|136|598|1868
lacnic|20170315|112|146|571|1916
lacnic|20170415|104|146|562|1958
lacnic|20170515|109|136|593|2008
lacnic|20170615|111|135|594|2037
lacnic|20170715|111|144|616|2035
lacnic|20170815|110|134|611|2103
lacnic|20170915|115|152|620|2113
lacnic|20171015|120|148|634|2180
lacnic|20171115|122|142|635|2265
lacnic|20171215|114|139|639|2261
lacnic|20180115|110|143|652|2265
lacnic|20180215|115|157|655|2312
lacnic|20180315|121|157|684|2372
lacnic|20180415|129|174|716|2370
lacnic|20180515|123|172|700|2435
lacnic|20180615|126|175|713|2477
lacnic|20180715|122|159|708|2506
lacnic|20180815|111|165|711|2563
lacnic|20180915|109|169|742|2579
lacnic|20181015|105|168|752|2619
lacnic|20181115|101|163|734|2716
lacnic|20181215|95|158|759|2702
lacnic|20190115|94|176|741|2717
lacnic|20190215|97|174|772|2731
lacnic|20190315|102|162|765|2811
lacnic|20190415|95|175|763|2799
lacnic|20190515|97|180|769|2812
lacnic|20190615|95|176|780|2768
lacnic|20190715|91|186|803|2785
lacnic|20190815|94|194|830|2848
lacnic|20190915|90|188|859|2845
lacnic|20191015|87|188|859|2911
lacnic|20191115|95|200|857|2980
lacnic|20191215|83|193|876|2973
lacnic|20200115|85|183|876|3103
lacnic|20200215|75|204|869|3135
lacnic|20200315|84|200|897|3229
lacnic|20200415|88|205|927|3308
lacnic|20200515|85|198|981|3337
lacnic|20200615|88|211|937|3469
lacnic|20200715|90|234|920|3542
lacnic|20200815|101|233|951|3568
lacnic|20200915|102|246|972|3642
lacnic|20201015|105|241|1008|3522
lacnic|20201115|104|234|1033|3514
lacnic|20201215|107|248|1010|3631
lacnic|20210115|110|257|1026|3625
lacnic|20210215|109|242|1009|3651
