#origin_as|region|country|as_type|use_selective|selective_prefixes|selective_neighbors|selective_proportion|median_intensity
9408|apnic|AU|business|False|0|0|0.00|1.00
9409|apnic|HK|hosting|True|2|2|1.00|0.50
9411|apnic|TH|education|True|1|1|0.00|1.00
9412|apnic|AU|none|False|0|0|0.00|1.00
9413|apnic|TH|none|False|0|0|0.00|1.00
9414|apnic|IN|none|False|0|0|0.00|1.00
9415|apnic|TW|none|False|0|0|0.00|1.00
9416|apnic|TW|business|True|64|8|1.00|0.75
9418|apnic|AU|none|True|7|3|1.00|0.33
9419|apnic|SG|education|True|12|3|0.91|0.67
9420|apnic|HK|none|False|0|0|0.00|1.00
9421|apnic|AU|business|True|6|2|1.00|0.50
9422|apnic|ID|isp|False|0|0|0.00|1.00
9426|apnic|AU|business|False|0|0|0.00|1.00
9430|apnic|IN|hosting|True|10|3|0.50|1.00
9431|apnic|NZ|education|True|4|3|1.00|0.67
9432|apnic|NZ|education|True|2|2|0.00|1.00
9433|apnic|NZ|education|True|5|2|0.00|1.00
9435|apnic|AU|business|True|21|2|0.25|1.00
9438|apnic|AU|business|False|0|0|0.00|1.00
9441|apnic|BD|isp|False|0|0|0.00|1.00
9443|apnic|AU|isp|True|758|7|1.00|0.57
9444|apnic|HK|business|False|0|0|0.00|1.00
9445|apnic|NZ|none|False|0|0|0.00|1.00
9452|apnic|KR|education|False|0|0|0.00|1.00
9454|apnic|KR|isp|False|0|0|0.00|1.00
9455|apnic|KR|business|True|24|2|1.00|0.50
9456|apnic|KR|none|False|0|0|0.00|1.00
9457|apnic|KR|isp|True|22|3|0.00|1.00
9459|apnic|KR|education|True|9|1|0.11|1.00
9460|apnic|AU|none|False|0|0|0.00|1.00
9461|apnic|AU|hosting|False|0|0|0.00|1.00
9462|apnic|ID|isp|True|4|2|0.75|0.50
9463|apnic|AU|business|True|2|2|1.00|0.50
9464|apnic|TH|education|True|4|2|0.92|0.50
9466|apnic|JP|business|True|35|3|1.00|0.33
9468|apnic|HK|business|True|2|3|0.67|0.33
9471|apnic|PF|isp|True|118|2|0.00|1.00
9472|apnic|AU|business|False|0|0|0.00|1.00
9474|apnic|HK|isp|True|15|2|0.98|0.50
9475|apnic|TH|isp|True|6|3|1.00|0.33
9476|apnic|AU|none|False|0|0|0.00|1.00
9479|apnic|AU|business|True|3|2|1.00|0.50
9482|apnic|AU|none|True|26|5|1.00|0.60
9484|apnic|MN|isp|False|0|0|0.00|1.00
9486|apnic|TH|education|True|9|2|0.29|1.00
9487|apnic|KR|business|False|0|0|0.00|1.00
9488|apnic|KR|education|False|0|0|0.00|1.00
9489|apnic|KR|education|False|0|0|0.00|1.00
9490|apnic|KR|business|False|0|0|0.00|1.00
9492|apnic|KR|business|False|0|0|0.00|1.00
9493|apnic|KR|business|False|0|0|0.00|1.00
9494|apnic|KR|business|False|0|0|0.00|1.00
9497|apnic|PH|none|True|84|1|1.00|0.50
9498|apnic|IN|isp|True|1264|55|1.00|0.73
9499|apnic|AU|none|False|0|0|0.00|1.00
9500|apnic|NZ|isp|True|11|4|0.83|0.50
9501|apnic|IN|business|False|0|0|0.00|1.00
9502|apnic|HK|business|True|3|4|0.09|1.00
9503|apnic|NZ|none|True|3|2|0.00|1.00
9505|apnic|TW|hosting|True|21|56|1.00|0.46
9506|apnic|SG|isp|True|55|3|1.00|0.33
9509|apnic|AU|government|False|0|0|0.00|1.00
9511|apnic|NZ|none|False|0|0|0.00|1.00
9512|apnic|AU|none|True|1|1|0.07|1.00
9513|apnic|HK|business|True|4|2|0.00|1.00
9516|apnic|SG|none|False|0|0|0.00|1.00
9517|apnic|AU|education|True|1|1|0.25|1.00
9518|apnic|AU|business|False|0|0|0.00|1.00
9519|apnic|AU|isp|True|6|1|0.06|1.00
9520|apnic|HK|hosting|False|0|0|0.00|1.00
9521|apnic|KR|business|False|0|0|0.00|1.00
9522|apnic|KR|business|False|0|0|0.00|1.00
9523|apnic|KR|business|True|4|2|0.13|1.00
9524|apnic|KR|hosting|False|0|0|0.00|1.00
9525|apnic|KR|business|False|0|0|0.00|1.00
9526|apnic|KR|hosting|True|3|2|0.04|1.00
9527|apnic|KR|business|True|1|1|0.50|1.00
