#region|date|baixa|media|alta
lacnic|20200615|189|294|486
lacnic|20200715|184|303|530
lacnic|20200815|181|296|552
lacnic|20200915|219|316|585
lacnic|20201015|191|333|594
lacnic|20201115|198|347|600
lacnic|20201215|204|342|629
lacnic|20210115|206|353|659
lacnic|20210215|205|369|666
lacnic|20210315|232|379|680
lacnic|20210415|245|395|696
lacnic|20210515|258|417|729
lacnic|20210615|285|444|777
lacnic|20210715|245|429|798
lacnic|20210815|237|444|822
lacnic|20210915|271|486|838
lacnic|20211015|266|503|867
lacnic|20211115|259|490|881
lacnic|20211215|269|529|873
lacnic|20220115|270|516|924
lacnic|20220215|277|525|951
lacnic|20220315|271|508|988
lacnic|20220415|292|532|932
lacnic|20220515|291|539|935
lacnic|20220615|299|559|936
lacnic|20220715|318|607|967
lacnic|20220815|316|602|990
lacnic|20220915|338|592|1020
lacnic|20221015|324|595|1042
lacnic|20221115|332|626|1088
lacnic|20221215|333|618|1127
lacnic|20230115|323|623|1126
lacnic|20230215|349|651|1146
lacnic|20230315|379|683|1158
lacnic|20230415|379|692|1128
lacnic|20230515|407|677|1153
lacnic|20230615|377|696|1135
lacnic|20230715|401|689|1150
lacnic|20230815|407|713|1175
lacnic|20230915|448|744|1233
lacnic|20231015|408|687|1220
lacnic|20231115|407|743|1209
lacnic|20231215|403|743|1237
lacnic|20240115|418|744|1219
lacnic|20240215|418|751|1220
lacnic|20240315|428|778|1232
lacnic|20240415|437|788|1219
lacnic|20240515|469|808|1228
lacnic|20240615|472|817|1218
ripencc|20140615|52|103|286
ripencc|20140715|51|115|289
ripencc|20140815|54|111|300
ripencc|20140915|55|110|320
ripencc|20141015|52|116|315
ripencc|20141115|61|117|313
ripencc|20141215|64|127|308
ripencc|20150115|62|127|315
ripencc|20150215|67|129|308
ripencc|20150315|71|134|303
ripencc|20150415|73|129|304
ripencc|20150515|79|131|304
ripencc|20150615|81|136|322
ripencc|20150715|78|142|334
ripencc|20150815|78|140|345
ripencc|20150915|86|137|344
ripencc|20151015|85|143|348
ripencc|20151115|80|158|349
ripencc|20151215|85|160|357
ripencc|20160115|83|168|359
ripencc|20160215|87|177|375
ripencc|20160315|87|178|373
ripencc|20160415|89|175|386
ripencc|20160515|80|196|400
ripencc|20160615|83|209|392
ripencc|20160715|83|198|395
ripencc|20160815|90|192|407
ripencc|20160915|86|201|422
ripencc|20161015|85|210|446
ripencc|20161115|86|212|459
ripencc|20161215|87|219|450
ripencc|20170115|90|226|442
ripencc|20170215|90|225|462
ripencc|20170315|98|233|465
ripencc|20170415|104|223|469
ripencc|20170515|108|215|470
ripencc|20170615|113|226|482
ripencc|20170715|108|236|476
ripencc|20170815|114|242|461
ripencc|20170915|117|258|460
ripencc|20171015|121|238|484
ripencc|20171115|134|267|506
ripencc|20171215|139|269|497
ripencc|20180115|149|269|498
ripencc|20180215|147|282|499
ripencc|20180315|144|294|525
ripencc|20180415|151|297|527
ripencc|20180515|148|294|547
ripencc|20180615|150|305|533
ripencc|20180715|153|338|554
ripencc|20180815|151|317|549
ripencc|20180915|163|319|530
ripencc|20181015|166|304|541
ripencc|20181115|166|325|555
ripencc|20181215|171|344|594
ripencc|20190115|178|333|591
ripencc|20190215|185|335|597
ripencc|20190315|182|332|632
ripencc|20190415|191|335|642
ripencc|20190515|199|324|657
ripencc|20190615|195|358|656
ripencc|20190715|203|350|666
ripencc|20190815|207|350|672
ripencc|20190915|209|358|679
ripencc|20191015|208|367|701
ripencc|20191115|202|386|722
ripencc|20191215|211|392|714
ripencc|20200115|217|388|742
ripencc|20200215|219|400|721
ripencc|20200315|214|396|744
ripencc|20200415|223|397|719
ripencc|20200515|227|416|756
ripencc|20200615|231|408|770
ripencc|20200715|240|419|797
ripencc|20200815|237|420|774
ripencc|20200915|251|443|791
ripencc|20201015|238|429|795
ripencc|20201115|251|421|788
ripencc|20201215|258|422|808
ripencc|20210115|268|433|803
ripencc|20210215|272|441|826
ripencc|20210315|272|464|838
ripencc|20210415|280|443|852
ripencc|20210515|289|453|864
ripencc|20210615|315|474|903
ripencc|20210715|297|449|872
ripencc|20210815|297|451|881
ripencc|20210915|315|465|912
ripencc|20211015|285|465|925
ripencc|20211115|298|475|901
ripencc|20211215|308|464|901
ripencc|20220115|304|487|943
ripencc|20220215|310|499|979
ripencc|20220315|310|516|957
ripencc|20220415|298|513|966
ripencc|20220515|301|528|966
ripencc|20220615|320|515|993
ripencc|20220715|333|518|1028
ripencc|20220815|335|543|1022
ripencc|20220915|350|546|1032
ripencc|20221015|342|524|1044
ripencc|20221115|329|539|1062
ripencc|20221215|349|544|1055
ripencc|20230115|356|553|1058
ripencc|20230215|372|576|1058
ripencc|20230315|419|613|1047
ripencc|20230415|389|615|1068
ripencc|20230515|387|614|1068
ripencc|20230615|371|591|1058
ripencc|20230715|376|588|1019
ripencc|20230815|404|613|1054
ripencc|20230915|446|628|1071
ripencc|20231015|430|597|1084
ripencc|20231115|427|610|1105
ripencc|20231215|445|618|1080
ripencc|20240115|443|635|1082
ripencc|20240215|458|615|1133
ripencc|20240315|451|636|1114
ripencc|20240415|460|638|1134
ripencc|20240515|476|648|1149
ripencc|20240615|480|648|1164
