region|date|from1to24|from25to49|from50to74|from75to100
lacnic|20170715|7|28|55|230
lacnic|20170815|6|23|56|234
lacnic|20170915|5|24|59|239
lacnic|20171015|9|25|65|234
lacnic|20171115|14|18|76|261
lacnic|20171215|13|24|82|260
lacnic|20180115|13|24|82|265
lacnic|20180215|16|27|89|267
lacnic|20180315|18|24|91|273
lacnic|20180415|16|30|92|289
lacnic|20180515|21|32|97|284
lacnic|20180615|16|31|80|316
lacnic|20180715|15|30|95|336
lacnic|20180815|13|21|107|339
lacnic|20180915|14|26|117|327
lacnic|20181015|13|28|127|373
lacnic|20181115|9|17|123|366
lacnic|20181215|12|25|126|387
lacnic|20190115|13|26|134|399
lacnic|20190215|12|22|131|414
lacnic|20190315|10|30|145|400
lacnic|20190415|14|25|142|391
lacnic|20190515|14|19|162|398
lacnic|20190615|16|28|169|415
lacnic|20190715|20|32|179|423
lacnic|20190815|23|29|191|442
lacnic|20190915|17|34|199|467
lacnic|20191015|15|33|199|501
lacnic|20191115|18|31|197|538
lacnic|20191215|19|40|209|538
lacnic|20200115|21|37|204|563
lacnic|20200215|22|43|200|582
lacnic|20200315|14|31|221|632
lacnic|20200415|21|50|214|605
lacnic|20200515|21|39|206|661
lacnic|20200615|25|44|222|678
lacnic|20200715|25|40|219|733
lacnic|20200815|25|35|215|754
lacnic|20200915|24|42|236|818
lacnic|20201015|27|43|215|833
lacnic|20201115|32|44|218|851
lacnic|20201215|30|38|221|886
lacnic|20210115|29|41|231|917
lacnic|20210215|34|48|240|918
lacnic|20210315|34|52|260|945
lacnic|20210415|28|57|253|998
lacnic|20210515|23|70|277|1034
lacnic|20210615|27|83|299|1097
lacnic|20210715|38|69|256|1109
lacnic|20210815|28|68|275|1132
lacnic|20210915|35|78|288|1194
lacnic|20211015|32|74|296|1234
lacnic|20211115|33|68|284|1245
lacnic|20211215|32|58|281|1300
lacnic|20220115|34|63|299|1314
lacnic|20220215|30|71|304|1348
lacnic|20220315|29|82|319|1337
lacnic|20220415|30|77|311|1338
lacnic|20220515|36|67|335|1327
lacnic|20220615|34|72|299|1389
lacnic|20220715|37|69|340|1446
lacnic|20220815|33|75|329|1471
lacnic|20220915|37|75|325|1513
lacnic|20221015|27|92|368|1474
lacnic|20221115|39|90|385|1532
