asn|aspp_average|moreSpecific_average|selective_average
2426||47.87|
2439||50.0|
2450||41.84|
2457||49.71|
2471|||100.0
2472|100.0||10.0
2485|33.79|36.15|29.83
2486|||53.55
2488||50.0|
2494||50.0|
2495|74.62|30.46|68.15
2496||50.0|
2497|22.65|5.27|93.31
2500|76.03|19.39|100.0
2501|92.19|37.89|0.0
2503||31.37|
2504||33.33|
2505|75.0|20.0|13.28
2506|53.41|10.7|61.26
2508||50.0|
2510|89.11|7.62|18.14
2512|100.0|21.43|19.0
2513|100.0|35.94|
2514|99.54|3.56|39.55
2515|39.49||92.42
2516|2.02|6.27|99.8
2518|93.89|5.76|76.02
2519|43.28|1.13|92.64
2522||16.67|
2523||35.12|100.0
2526||33.02|3.0
2527|67.98|11.1|73.05
2529||7.63|89.19
2532|100.0|50.0|66.67
2534|95.68|22.84|93.84
2535|6.98|20.28|77.48
2538|100.0||100.0
2539|90.99||
2541||2.18|95.71
2544|98.25|14.07|12.65
2546||50.0|
2547||43.26|
2549|58.0|27.39|30.62
2552|46.58|29.82|9.73
2553||20.44|
2554||10.11|90.0
2559|30.66|11.58|99.31
2560|98.62|8.87|2.0
2561|50.15|1.46|38.6
2563|66.67||33.0
2567|33.18||96.42
2568|26.3|13.77|83.74
2570||5.02|
2571|39.93|14.66|100.0
2572|87.73|21.38|62.79
2575|50.0|50.0|
2576||7.25|100.0
2577|100.0|47.5|
2579||27.79|1.15
2585|100.0||
2586|86.76|7.46|8.0
2587|100.0||
2588|82.14|17.1|70.3
2589|15.45|18.63|63.06
2590|36.0|16.67|35.1
2591|||87.5
2592||50.0|
2593|91.1||43.05
2594|62.6|10.85|94.82
2595||25.0|31.5
2597||23.2|42.5
2600|100.0||
2601|100.0||
2602|76.59|20.86|99.91
2603|98.52|8.24|82.02
2606|100.0|24.44|21.59
2607|71.12|30.39|29.52
2609||18.27|81.53
2611|51.68|19.28|99.98
2612||50.0|
2613|50.0||50.0
2614|2.19|4.76|48.06
2615|27.44||100.0
2621||48.72|
2623|||100.0
2629||1.34|
2631|6.49|8.15|100.0
2634|||100.0
2635|19.43|5.83|100.0
2636|100.0|36.66|
2637|62.39|19.98|93.68
2639|26.66|10.85|99.73
2640||50.0|
2641|97.02|14.29|
2642|9.69|10.26|99.94
2643|100.0||
2646|||33.2
2647||27.13|
2648||37.52|100.0
2650|54.17|29.16|99.92
2653|100.0||3.0
2665||2.34|
2667|||73.53
2669|65.38|4.03|12.61
2675|61.11|19.67|20.41
2682|100.0||
2683||33.33|63.62
2685|2.85|9.35|70.75
2686|0.59|6.66|100.0
2687|32.29|9.15|100.0
2688|54.39|9.98|98.83
2695|75.0||
2697|48.04||99.98
2698|34.43|11.25|79.03
2701||47.09|
2703|100.0||
2705||46.59|99.25
2706|7.62|11.62|86.18
2707|100.0|13.07|54.43
2708|69.99||98.15
2709|28.75|14.58|54.0
2710|100.0||
2711|2.94|8.05|50.64
2712||63.46|
2714||30.89|55.2
2715||8.77|75.86
2716|6.49|16.64|100.0
2721|80.83|41.11|7.33
2722|51.99|11.77|92.89
2723|||100.0
2724|100.0||
2726|66.67|35.55|25.37
2727|68.05|7.14|85.12
2728|100.0||20.0
2730|100.0|15.72|3.0
2731|||51.67
2732||33.33|
2734|21.22|9.01|100.0
2738|100.0||50.0
2749||14.29|
2754|75.0||100.0
2762|33.62||100.0
2764|15.55|8.24|92.44
2768|41.0|20.0|100.0
2769|71.43|50.0|
2792||9.38|4.63
2799|86.67|31.31|
2818||23.93|47.09
2820|100.0||
2821|100.0||65.0
